"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"5690"	9.08168241948424	9.19599539790361	9.20320629138023	9.26778154849601	9.43253066333618	8.57553373246168	9.00536899075521	9.03133619455814	9.05093796461064	9.05808961855675	8.97729198940589	9.55205205613358	9.32127643175551	9.17754551676311	9.05337821788626	9.43948304157055
"10657"	8.71448833050067	8.64401350948028	8.38918196454003	8.44794502679412	8.71400847237697	8.50510145675384	8.14375712195299	8.31971325301766	8.58269143631273	8.61562325287763	8.32566127098123	8.60302648317261	8.50098238999638	8.93353284575382	8.70320420128792	8.67532563362046
"51493"	9.88104013272301	9.2730741920396	9.77895727733521	9.78606105265384	10.0862061330323	9.73383429125083	9.85873703920945	9.71850446603076	9.75397410730295	9.67547957294639	9.96782749294857	9.06514343148692	10.0967875412898	9.86810338612675	9.47826704270487	9.15128961527737
"2079"	12.2607238290042	12.0262197883324	11.830635602211	11.7294295686197	11.1166796118389	11.7982380518132	11.664927825364	10.9133706489984	11.366006795595	11.1051049825966	11.4188919954512	11.3710189994449	11.917914328732	11.4948288757911	11.8791847172834	10.9229442658854
"8683"	10.9247838628493	10.6110856173873	10.9445304065485	11.3006075267016	10.8512151901737	11.3049848758187	10.8946912888457	10.3696822345104	10.3514139626727	9.98848444315687	10.2263170388882	10.4316368104701	10.7120065264461	10.2846281059013	11.2489173298702	10.2185841416733
"23"	8.9260588013082	8.62610149894459	9.04366481880568	8.03879463878445	9.19106246239237	8.71821341807913	8.96757456476007	8.72590906823191	8.9679647343234	8.86017307947782	8.9155471058772	9.3324998886951	9.20604604623375	8.96195802084218	8.83948738477341	9.16321257790011
"1603"	11.4440013397333	10.6332233926816	11.4889715378413	10.9788455297094	10.4408834607206	10.8289531331588	10.958331760824	10.8009868480743	10.5513391930626	10.4267066053211	11.0374901691679	10.8918236109863	11.4771360773861	10.9783235935591	10.7234780787357	10.8214786044482
"7528"	8.52966913481753	8.82339962013188	8.24463768579553	8.48358514702704	8.75302014513538	8.60916886640086	8.21495106267909	8.3227452077526	8.54946720186925	8.22442339680143	8.38701479539918	8.39041474385505	8.58163315200093	8.91133942484733	8.72843044946346	8.56684871768905
"10899"	11.8200392370735	12.436105087142	12.0087136557476	12.224443952732	11.8065804324101	11.9721838146449	12.108047687087	11.1258065932312	10.5483454788502	10.7846812392759	11.076751201716	11.3031079550359	11.1197350990244	11.3422255711331	11.9371848121012	11.3153270536265
"11143"	8.03241908658078	8.01287602417047	7.84686374717206	7.37993926339571	7.25899014637162	8.71397076498366	7.66117742975968	7.48457729354684	7.63195929091955	7.24404825481235	7.53465322017579	7.46902471986327	7.45393204647194	7.77395944780803	8.11249306149804	7.57671182886617
"7705"	9.86691536103872	10.1713632501306	10.2189919601361	10.0563189342143	9.92196234716112	10.8832038052641	10.2794618320015	9.6504080428476	9.76132600973103	9.86536869360631	9.7231653148664	9.53604518403019	9.96070692904957	9.69701663706731	10.4735872796891	9.8061339536906
"9092"	8.87568971692379	8.28194815841061	8.00583190165495	8.42294359527058	8.96606854830257	8.6804635925161	7.45364120975732	7.86485174294142	8.41889808304702	7.75259643908915	8.01959615619826	8.58764125834729	8.22514711461177	8.0054612164624	8.85631420277543	8.17634713648963
"3608"	11.0405317842913	11.2677057214033	10.7746787167442	11.3303261806831	10.7902469417278	10.9351521707418	10.2943328846328	9.92370937021961	9.53321231919278	10.3791243996577	10.1389660492076	10.5257508148579	10.6725166778586	10.3788142388729	10.4711600481081	10.0628657997823
"9552"	8.54827138207332	9.77617650312751	9.16849882956876	9.55448369564652	9.1774854279307	8.87552532366319	9.19426088561323	9.45341232836972	9.4277398645756	9.42300412729624	9.45434343335193	9.18446346645213	9.25922928892155	9.84057919468922	8.62022680055885	9.17734746807351
"8882"	8.04028518057474	6.98140920272865	7.43198257684708	7.4500517902091	8.12989481796548	7.09046115979978	7.09623345557326	7.32703153653008	7.6875059761529	7.1065720017011	6.85479058114071	7.97041622213863	7.56908368815423	7.15417337990319	7.21678186540287	7.89754187113018
"6881"	9.80344743665735	10.2178002113564	10.7924200428543	10.1392145692479	10.4677469304442	9.85836484474158	10.1268885705255	9.79174706474646	9.97233319610626	9.42463947616776	9.76784742798698	10.0196144254502	9.90734487506154	8.92800389092292	10.4922057595636	9.64418103459454
"10438"	9.08376523481765	8.72818368613417	8.49755786689508	8.90128360541967	8.82148202757357	9.21858770507206	9.23056279329931	9.20160339254641	8.99580794889936	8.38670962057176	8.93585019242784	8.52064932792914	9.08527096943471	8.79511785547456	8.1689435761978	8.3320839098919
"4841"	11.2769556114524	11.0780356612105	11.4690811132971	11.2173737338066	11.5125595499814	11.3784361163404	11.1849585216151	10.8207300511706	10.9630323649863	10.9739954391844	10.7152795927124	10.9574339403647	10.8895221986691	11.3352149603012	11.5354380127264	11.0835500810677
"23020"	6.66212905069578	6.38545221398688	6.56678275335133	6.72048951097725	6.62835185896647	6.83012377499329	6.20318576534362	6.25896124951948	6.46970477989139	6.44123590798556	6.48872922810698	6.43378019507165	6.49043493786673	6.71174535233453	7.15073730838032	6.39576515205183
"387"	12.7854154136927	12.2258013613311	12.104535871446	12.479595518703	12.5665827470915	12.4349899820032	12.2228745901457	11.7414873245024	11.7320321708553	12.3689240445796	12.3322423779407	12.5323304286438	12.5915022165904	12.3558697824291	12.055226133885	12.3683452008234
"10921"	9.00210842808419	8.99289396883242	9.81128808105688	9.59063064707027	9.85762680760545	9.04531531856985	9.01133663249438	9.06269967244675	9.32483097685985	9.06531384383993	8.91877180898445	9.1453935725222	9.10058353476298	9.74861892519723	9.35537153620663	9.01468237828434
"6229"	14.1313893305896	13.6720635364844	13.8278208101187	13.602701133306	13.9990980126377	13.6951154013073	13.5992734646185	13.5056167493312	13.3639091806698	13.4023699925066	13.2387956977951	13.4579784799731	13.5789970739446	13.5930233510018	13.6268904836071	13.2549909656651
"6156"	13.9105671136244	13.4935916755535	13.3832688910983	13.4370450945858	13.304019731419	13.8195599211423	13.6279276582625	13.1126080377976	13.2236732942139	12.998350302855	12.9539537673829	13.1568901024309	13.2024669707702	13.5604086595172	13.6670199260312	13.1908948513165
"4869"	12.9018794490367	12.2341901453413	12.9187199459466	12.5701377505683	12.9336131425647	12.4076379828571	12.2147290420881	12.3518510044988	12.657712998323	12.5845367612791	12.2165722174094	12.8581327541295	13.0634460903042	12.8733245755326	12.4985328314412	12.6947065549619
"3326"	12.2393480183088	12.4415265134857	12.343426101631	12.1458069489426	12.1128951230285	12.527882073866	12.3372832721696	11.6650231602919	11.9246076544163	11.6911010697214	11.5226555596043	11.8629740850564	12.1311342100107	11.5708329558787	12.4381018927595	11.6962911307501
"375"	12.243663786429	11.1717058267513	11.696490746559	11.8213621746857	11.1740735643947	10.2421401657805	11.6741456225331	11.1444737397777	11.1005845505382	10.9725847390294	10.3397653257948	11.0284971171737	10.3748288988874	10.8575411704752	9.76192791960214	11.03716934545
"3550"	10.0099865620458	9.92377717504728	10.2011205394604	10.1680189638581	10.1181347811248	9.70024848566179	9.468167555927	10.0918969922451	10.5591678590787	10.3885703248844	10.4535261448375	10.3656198454985	10.4069944618052	10.2856692687832	9.45165366915059	10.1104604994152
"8724"	10.4095527667059	10.4511167099855	10.2157324108191	10.1486746447204	10.7400353711014	10.0457703217062	10.5410502532735	10.2482131488592	10.3886658307703	10.115010893787	10.3899958914162	10.6557962245005	10.4778088131128	10.0426078321912	10.0637049389646	10.370551554438
"821"	10.6886524418856	11.0748390613701	10.501712038076	11.0026779819942	11.3138012597043	11.378147564456	10.8883338760864	10.6091896065873	10.9254195662424	10.6358593490031	10.8302458996068	11.00364270465	10.8688722630253	11.1431262512467	11.5092909349832	11.2481199519683
